Mã tin,Loại BĐS,Khu vực,Địa chỉ,Diện tích (m2),Pháp lý,Giá (tỷ),Lộ giới (m),Số lầu,Số phòng ngủ,Số điện thoại liên hệ,Link truy cập
2158705,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",54.0,Sổ hồng/ Sổ đỏ,4.95,15.0,4,4,0947.758.834,https://i-batdongsan.com/dang-vu-hy-long-bien-via-he-rong-3-o-to-tranh-54m2-4-95-ty--2158705.html
4576689,Nhà mặt tiền,Hà Nội," Quận Đống Đa, Hà Nội",58.0,Sổ hồng/ Sổ đỏ,26.0,30.0,5,6,0977.552.342,https://i-batdongsan.com/hiem-nha-mat-pho-giang-vo-vi-tri-dep-kinh-doanh-dinh-58m2-5-tang-mt-4-5m-nhinh-26-4576689.html
2499963,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",45.0,Sổ hồng/ Sổ đỏ,6.0,5.0,3,3,0947.758.834,https://i-batdongsan.com/45m2-mat-ngo-ngoc-lam-kinh-doanh-dinh-o-to-tranh-lo-goc-thoang-sang-nhinh-6-ty--2499963.html
4858958,Nhà mặt tiền,Hà Nội," Quận Ba Đình, Hà Nội",120.0,Sổ hồng/ Sổ đỏ,45.0,25.0,2,3,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-nguyen-thai-hoc-120m-gia-45-ty--4858958.html
2741661,Nhà mặt tiền,Hà Nội," Quận Long Biên, Hà Nội",125.0,Sổ hồng/ Sổ đỏ,13.0,7.0,5,6,0947.758.834,https://i-batdongsan.com/mat-pho-ngoc-thuy-125m2-mt-rong-mien-man-view-song-hong-gia-nhinh-13-ty--2741661.html
4412388,Văn phòng,Hà Nội," Quận Hoàn Kiếm, Hà Nội",120.0,Sổ hồng/ Sổ đỏ,128.0,30.0,9,15,0941.172.436,https://i-batdongsan.com/-ban-toa-van-phong-mat-pho-phung-hung-hoan-kiem-120m2-9t-mt-7-5m-chi-128-ty--4412388.html
4128202,Nhà mặt tiền,Hà Nội," Quận Hai Bà Trưng, Hà Nội",120.0,Sổ hồng/ Sổ đỏ,59.0,15.0,2,3,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-mai-hac-de-120m-mat-tien-4-5m-gia-59-ty--4128202.html
3393641,Nhà mặt tiền,Hà Nội," Quận Long Biên, Hà Nội",65.0,Sổ hồng/ Sổ đỏ,8.0,15.0,5,4,0947.758.834,https://i-batdongsan.com/thanh-am-65m2-view-ho-o-to-tranh-5-tang-mt-rong-via-he-menh-mang-tang-noi-that-xin--3393641.html
4828000,Nhà mặt tiền,Đông Bắc Bộ," Thị xã Phổ Yên, Thái Nguyên",147.0,Sổ hồng/ Sổ đỏ,3.2,1.0,0,0,0976.803.606,https://i-batdongsan.com/-cuc-hiem-ban-dat-tang-nha-3-tang-moi-dep-truoc-mat-co-ki-ot-kinh-doanh-mat-duong-ql3-4828000.html
4456086,Nhà mặt tiền,Hà Nội," Quận Cầu Giấy, Hà Nội",362.0,Sổ hồng/ Sổ đỏ,125.0,30.0,9,20,0936.483.090,https://i-batdongsan.com/-toa-van-phong-9-tang-mat-pho-phan-van-truong-cau-giay-362m2-mt-15m--4456086.html
4513072,Nhà mặt tiền,Hà Nội," Quận Ba Đình, Hà Nội",88.0,Sổ hồng/ Sổ đỏ,28.8,12.0,6,20,0987.881.444,https://i-batdongsan.com/b-an-nha-ngo-vip-81-linh-lang-ba-dinh-88m-6tang-mt6-5m-28-8-ty-oto-tranh-kd-dinh-4513072.html
4108091,Nhà mặt tiền,Hà Nội," Quận Cầu Giấy, Hà Nội",50.0,Sổ hồng/ Sổ đỏ,28.0,20.0,5,4,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-lac-long-quan-50m-5-tang-gia-28-ty--4108091.html
4421675,"Nhà ngõ, hẻm",Hà Nội," Quận Tây Hồ, Hà Nội",150.0,Sổ hồng/ Sổ đỏ,23.0,30.0,1,5,0936.483.090,https://i-batdongsan.com/-ban-nha-lac-long-quan-tay-ho-gan-ho-tay-150m2-c4-mt-7-5m-chi-23-ty--4421675.html
4497839,Nhà mặt tiền,Hà Nội," Quận Ba Đình, Hà Nội",150.0,Sổ hồng/ Sổ đỏ,43.0,10.0,8,24,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-truc-bach-ba-dinh-150m-8-tang-thang-may-gia-43-ty--4497839.html
4434023,"Phòng trọ, nhà trọ",Hà Nội," Quận Nam Từ Liêm, Hà Nội",75.0,Sổ hồng/ Sổ đỏ,11.5,5.0,7,18,0973.181.606,https://i-batdongsan.com/-toa-ccmn-phung-khoang-75m2-7t-thang-may-mt-4m-18-phong-kk-chi-11-5-ty--4434023.html
4851842,Nhà mặt tiền,Hà Nội," Quận Hoàn Kiếm, Hà Nội",100.0,Sổ hồng/ Sổ đỏ,51.0,20.0,6,6,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-hang-giay-100m-6-tang-gia-51-ty--4851842.html
4549647,"Nhà ngõ, hẻm",Hà Nội," Quận Đống Đa, Hà Nội",55.0,Sổ hồng/ Sổ đỏ,22.5,8.0,6,6,0987.881.444,https://i-batdongsan.com/ban-nha-ngo-61-hoang-cau-gan-ngo-34-hoang-cau-50-55m-6tang-mt-5-8m-chi-22-5-ty-4549647.html
4276355,Nhà mặt tiền,Hà Nội," Quận Thanh Xuân, Hà Nội",182.0,Sổ hồng/ Sổ đỏ,65.0,30.0,8,10,0974.473.300,https://i-batdongsan.com/-toa-nha-van-phong-vip-mat-pho-le-trong-tan-thanh-xuan-182m2-8-tang-thang-may--4276355.html
4675976,Nhà mặt tiền,Hà Nội," Quận Đống Đa, Hà Nội",181.0,Sổ hồng/ Sổ đỏ,90.0,30.0,10,32,0904.216.450,https://i-batdongsan.com/-mat-pho-nguyen-van-tuyet-dong-da-181m2-10t-mt-6-5m-sieu-dong-tien-chi-90-ty--4675976.html
4783446,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Thủ Đức, Hồ Chí Minh",82.0,Sổ hồng/ Sổ đỏ,2.7,3.0,2,4,0888.380.496,https://i-batdongsan.com/ban-nha-gan-cho-thu-duc-linh-dong-thu-duc-82m2-ngang-5-4m-chi-2-x-ty-tl-loi-ngay-khi-4783446.html
4336697,Văn phòng,Hà Nội," Quận Thanh Xuân, Hà Nội",100.0,Sổ hồng/ Sổ đỏ,33.0,20.0,8,7,0982.833.366,https://i-batdongsan.com/-toa-van-phong-mat-pho-cu-loc-thanh-xuan-100m2-8t-thang-may-kd-dinh-chi-33-ty--4336697.html
4773222,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận 7, Hồ Chí Minh",40.0,Sổ hồng/ Sổ đỏ,3.9,4.0,3,4,0901.851.503,https://i-batdongsan.com/chinh-chu-ban-nha-hem-tran-xuan-soan-40m2-ngang-4-2m-dong-tien-6tr-th-3-phong-cho-4773222.html
4422851,Nhà mặt tiền,Hà Nội," Quận Cầu Giấy, Hà Nội",110.0,Sổ hồng/ Sổ đỏ,54.5,30.0,5,5,0973.181.606,https://i-batdongsan.com/-biet-thu-vip-lo-goc-2-mat-pho-nguyen-thi-thap-110m2-5t-mt-18m-sieu-kd-chi-54-5-ty-4422851.html
4822514,Đất,Duyên Hải Nam Trung Bộ," Thành phố Nha Trang, Khánh Hòa",13000.0,Sổ hồng/ Sổ đỏ,130.0,20.0,0,0,0822.055.479,https://i-batdongsan.com/ban-1-3-hecta-dat-qh-tmdv-biet-thu-vinh-hoa-4822514.html
4468860,"Nhà ngõ, hẻm",Hà Nội," Quận Cầu Giấy, Hà Nội",180.0,Sổ hồng/ Sổ đỏ,25.0,15.0,2,4,0973.181.606,https://i-batdongsan.com/-ban-nha-dat-ngo-89-lac-long-quan-180m2-2t-mt-6m-3-o-to-tranh-chi-25-ty--4468860.html
4726009,Văn phòng,Hà Nội," Quận Đống Đa, Hà Nội",113.0,Sổ hồng/ Sổ đỏ,71.0,30.0,9,8,0937.272.112,https://i-batdongsan.com/-ban-toa-van-phong-lo-goc-pho-ton-duc-thang-dong-da-113m2-9t-mt-6-2m-chi-71-ty--4726009.html
4730524,Nhà mặt tiền,Hà Nội," Quận Cầu Giấy, Hà Nội",40.0,Sổ hồng/ Sổ đỏ,26.0,20.0,8,8,0336.552.233,https://i-batdongsan.com/mat-pho-vu-pham-ham-cau-giay-8-tang-thang-may-kd-khung-40m2-mt-6-3m-26-ty--4730524.html
2526729,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",70.0,Sổ hồng/ Sổ đỏ,6.0,5.0,4,4,0947.758.834,https://i-batdongsan.com/70m2-hoa-lam-o-to-7-cho-do-cua-ngo-thong-mat-tien-rong-kinh-doanh-dinh-nhinh-6-ty--2526729.html
3428278,Nhà mặt tiền,Hà Nội," Quận Long Biên, Hà Nội",65.0,Sổ hồng/ Sổ đỏ,10.0,7.0,6,6,0947.758.834,https://i-batdongsan.com/mat-pho-lam-du-6-tang-thang-may-65m2-nhinh-10-ty--3428278.html
4748944,"Nhà ngõ, hẻm",Hà Nội," Quận Hai Bà Trưng, Hà Nội",55.0,Sổ hồng/ Sổ đỏ,11.0,4.0,8,13,979824280,https://i-batdongsan.com/ban-nha-8-tang-thang-may-pho-ta-quang-buu-dien-tich-56-m2-gia-11-ty-4748944.html
4735784,Biệt thự,Hà Nội," Quận Cầu Giấy, Hà Nội",180.0,Sổ hồng/ Sổ đỏ,38.5,10.0,5,4,0839.122.366,https://i-batdongsan.com/ban-toa-biet-thu-dang-cap-cau-giay-180m2-5t-lo-goc-thang-may-o-kd-cuc-dinh-38-5-ty--4735784.html
4783171,"Nhà ngõ, hẻm",Hà Nội," Quận Thanh Xuân, Hà Nội",60.0,Sổ hồng/ Sổ đỏ,16.5,10.0,4,4,0911.214.718,https://i-batdongsan.com/-phan-lo-nguy-nhu-kon-tum-thanh-xuan-o-to-tranh-kd-60m2-4t-mt-4-5m-18-5-ty--4783171.html
3302760,Nhà mặt tiền,Hà Nội," Quận Đống Đa, Hà Nội",125.0,Sổ hồng/ Sổ đỏ,50.6,20.0,8,6,0912.923.523,https://i-batdongsan.com/mat-pho-ton-duc-thang-125m-8-tang-thang-may-mat-tien-hon-5m-gia-50-6-ty--3302760.html
4845199,Nhà mặt tiền,Hà Nội," Quận Cầu Giấy, Hà Nội",96.0,Sổ hồng/ Sổ đỏ,54.0,20.0,8,6,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-to-hieu-8-tang-thang-may-mat-tien-5-6m-gia-54-ty--4845199.html
4795947,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận 7, Hồ Chí Minh",17.0,Sổ hồng/ Sổ đỏ,2.4,3.0,2,1,0901.851.503,https://i-batdongsan.com/hiem-nha-le-van-luong-2-tang-trung-tam-q7-nhinh-2-ty-4795947.html
3920725,Nhà mặt tiền,Hà Nội," Quận Long Biên, Hà Nội",160.0,Sổ hồng/ Sổ đỏ,25.0,10.0,7,10,0947.758.834,https://i-batdongsan.com/toa-van-phong-7-tang-thang-may-mt-11m-kinh-doanh-view-ho-bo-de-25-ty--3920725.html
2664474,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",335.0,Sổ hồng/ Sổ đỏ,19.5,5.0,5,40,0947.758.834,https://i-batdongsan.com/dong-tien-nguyen-van-cu-40-phong-cho-thue-150t-thang-o-to-355m2-nhinh-19-ty--2664474.html
4594910,Nhà mặt tiền,Hà Nội," Quận Cầu Giấy, Hà Nội",140.0,Sổ hồng/ Sổ đỏ,49.0,20.0,8,4,0868.085.263,https://i-batdongsan.com/sieu-pham-ban-nha-mat-pho-nguyen-kha-trac-140m2-8t-lo-goc-mt20m-49-ty-4594910.html
4617158,Nhà mặt tiền,Hà Nội," Quận Tây Hồ, Hà Nội",220.0,Sổ hồng/ Sổ đỏ,90.0,30.0,9,20,0902.254.191,https://i-batdongsan.com/-ban-toa-van-phong-mat-pho-vong-thi-tay-ho-220m2-9t-mt-13m-chi-90-ty--4617158.html
4757256,Biệt thự,Hà Nội," Quận Long Biên, Hà Nội",245.0,Sổ hồng/ Sổ đỏ,40.5,21.0,4,6,0982.818.686,https://i-batdongsan.com/giam-soc-3-ty-ban-gap-biet-thu-vip-kdt-viet-hung-lo-goc-thang-may-245m2-nhinh-40-ty-4757256.html
3771975,Nhà mặt tiền,Hà Nội," Quận Ba Đình, Hà Nội",65.0,Sổ hồng/ Sổ đỏ,30.0,20.0,7,5,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-phan-ke-binh-65m-7-tang-thang-may-gia-30-ty--3771975.html
3924522,Nhà mặt tiền,Hà Nội," Quận Long Biên, Hà Nội",100.0,Sổ hồng/ Sổ đỏ,10.5,10.0,5,6,0947.758.834,https://i-batdongsan.com/mat-pho-ngoc-thuy-100m2-5-tang-thang-may-mt-7m-kinh-doanh-via-he-chi-hon-10-5-ty--3924522.html
4699508,Nhà mặt tiền,Hà Nội," Quận Hai Bà Trưng, Hà Nội",161.0,Sổ hồng/ Sổ đỏ,16.5,40.0,2,2,0937.272.112,https://i-batdongsan.com/-co-1-khong-2-nha-mat-pho-vip-dai-la-161m2-2-tang-mt-17m-chi-16-5-ty--4699508.html
4841081,Nhà mặt tiền,Hà Nội," Quận Cầu Giấy, Hà Nội",110.0,Sổ hồng/ Sổ đỏ,64.0,25.0,1,2,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-cau-giay-110m-mat-tien-hon-6m-gia-64-ty--4841081.html
4552219,"Nhà ngõ, hẻm",Hà Nội," Quận Cầu Giấy, Hà Nội",101.0,Sổ hồng/ Sổ đỏ,25.5,15.0,4,6,0936.483.090,https://i-batdongsan.com/-phan-lo-o-to-tranh-trung-kinh-doi-via-he-kd-dinh-101m2-4t-mt-5-7m--4552219.html
4338632,Nhà mặt tiền,Hà Nội," Quận Cầu Giấy, Hà Nội",130.0,Sổ hồng/ Sổ đỏ,120.0,25.0,11,9,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-tran-thai-tong-130m-11-tang-gia-120-ty--4338632.html
3443164,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",75.0,Sổ hồng/ Sổ đỏ,11.5,7.0,5,6,0947.758.834,https://i-batdongsan.com/lam-du-phuong-hien-chi-75m2-5-tang-mt-5m-2-o-to-tranh-kinh-doanh-nhinh-11-5-ty--3443164.html
4772780,Biệt thự,Hồ Chí Minh," Quận Gò Vấp, Hồ Chí Minh",68.0,Sổ hồng/ Sổ đỏ,8.39,7.0,5,4,0939.557.468 / 0868.689.086,https://i-batdongsan.com/biet-thu-mini-pham-van-chieu-go-vap-5-tang-tang-noi-that-8-39-ty-4772780.html
4420209,Nhà mặt tiền,Hà Nội," Quận Hoàn Kiếm, Hà Nội",47.0,Sổ hồng/ Sổ đỏ,25.5,15.0,8,18,0936.483.090,https://i-batdongsan.com/-khach-san-luong-ngoc-quyen-hoan-kiem-47m2-8t-thang-may-mt-4-5m-18-phong-25-5-ty--4420209.html
4871213,"Nhà ngõ, hẻm",Hà Nội," Quận Hà Đông, Hà Nội",57.0,Sổ hồng/ Sổ đỏ,14.0,6.0,4,4,0989.260.629,https://i-batdongsan.com/sieu-hiem-tran-phu-mo-lao-ha-dong-via-he-kinh-doanh-o-to-57m2-4-tang-noi-that-xin-4871213.html
2606362,Nhà mặt tiền,Hà Nội," Quận Ba Đình, Hà Nội",50.0,Sổ hồng/ Sổ đỏ,19.5,7.0,5,4,0947.758.834,https://i-batdongsan.com/sieu-pham-sieu-hiem-mat-pho-tran-vu-mat-ho-truc-bach-phan-lo-5-tang-via-he-19-5-ty--2606362.html
4557617,Nhà mặt tiền,Hà Nội," Quận Ba Đình, Hà Nội",55.0,Sổ hồng/ Sổ đỏ,31.0,25.0,5,4,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-kim-ma-55m-mat-tien-4-6m-gia-31-ty--4557617.html
4691582,Biệt thự,Hà Nội," Quận Cầu Giấy, Hà Nội",180.0,Sổ hồng/ Sổ đỏ,41.0,10.0,5,6,0904.216.450,https://i-batdongsan.com/-ban-biet-thu-sieu-vip-noi-do-cau-giay-180m2-5t-thang-may-mt-22m-chi-41-ty--4691582.html
4038751,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",50.0,Sổ hồng/ Sổ đỏ,9.8,15.0,5,6,0947.758.834,https://i-batdongsan.com/lam-ha-o-to-tranh-gara-o-to-phan-lo-hang-khong-5-tang-6-ngu-nhinh-9-8-ty--4038751.html
4793828,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Thủ Đức, Hồ Chí Minh",60.0,Sổ hồng/ Sổ đỏ,2.9,3.0,2,3,0888.380.496,https://i-batdongsan.com/ban-nha-gan-cho-nong-san-thu-duc-60m2-chi-2-x-ty-loi-ngay-khi-mua-4793828.html
4557322,Văn phòng,Hà Nội," Quận Cầu Giấy, Hà Nội",110.0,Sổ hồng/ Sổ đỏ,68.0,30.0,7,12,0982.833.366,https://i-batdongsan.com/-toa-van-phong-mat-pho-vu-pham-ham-cau-giay-110m2-7t-mt-7m-chi-68-ty--4557322.html
4041457,Nhà mặt tiền,Hà Nội," Quận Long Biên, Hà Nội",110.0,Sổ hồng/ Sổ đỏ,18.5,20.0,3,4,0947.758.834,https://i-batdongsan.com/mat-pho-nguyen-van-cu-via-he-thenh-thang-xay-6-tang-thang-may-110m2-mt-5m-nhinh-18-5-ty-4041457.html
4341582,Nhà mặt tiền,Hà Nội," Quận Đống Đa, Hà Nội",90.0,Sổ hồng/ Sổ đỏ,48.0,15.0,8,6,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-vo-van-dung-90m-8-tang-thang-may-gia-48-ty--4341582.html
4603476,Biệt thự,Hà Nội," Huyện Thanh Trì, Hà Nội",230.0,Sổ hồng/ Sổ đỏ,2.65,30.0,4,6,0904.216.450,https://i-batdongsan.com/-biet-thu-the-eden-rose-thanh-liet-can-goc-sieu-dep-230m2-4t-mt-25m-chi-26-5-ty--4603476.html
4772510,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Gò Vấp, Hồ Chí Minh",62.0,Sổ hồng/ Sổ đỏ,3.9,0.0,0,2,0937.099.054,https://i-batdongsan.com/ban-nha-pham-van-chieu-go-vap-hem-8m-62m2-gia-re-3-ty-nhinh-4772510.html
3506157,Nhà mặt tiền,Hà Nội," Quận Hoàn Kiếm, Hà Nội",57.0,Sổ hồng/ Sổ đỏ,60.0,15.0,6,5,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-hang-voi-57m-6-tang-gia-60-ty--3506157.html
4421214,Nhà mặt tiền,Hà Nội," Quận Tây Hồ, Hà Nội",270.0,Sổ hồng/ Sổ đỏ,180.0,30.0,9,20,0983.630.136,https://i-batdongsan.com/-ban-toa-apartment-mat-pho-to-ngoc-van-270m2-9t-mt-11m-co-ham-chi-180-ty--4421214.html
4399521,Nhà mặt tiền,Hà Nội," Quận Hoàn Kiếm, Hà Nội",80.0,Sổ hồng/ Sổ đỏ,65.0,30.0,8,22,0973.181.606,https://i-batdongsan.com/-ban-khach-san-80m2-8t-thang-may-mat-pho-phu-doan-hoan-kiem-chi-65-ty--4399521.html
4746129,Nhà mặt tiền,Hà Nội," Quận Hoàn Kiếm, Hà Nội",70.0,Sổ hồng/ Sổ đỏ,58.0,8.0,5,4,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-pho-cau-go-70m-5-tang-gia-58-ty--4746129.html
4346757,Nhà mặt tiền,Hà Nội," Quận Hai Bà Trưng, Hà Nội",190.0,Sổ hồng/ Sổ đỏ,118.0,25.0,6,6,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-ba-trieu-190m-6-tang-thang-may-gia-118-ty--4346757.html
4747188,Đất,Hà Nội," Quận Long Biên, Hà Nội",84.0,Sổ hồng/ Sổ đỏ,6.0,6.0,0,0,0858.632.234,https://i-batdongsan.com/ban-dat-bat-khoi-o-to-tranh-kd-84m2-mt-4-5m-chi-nhinh-6-ty--4747188.html
4699440,Nhà mặt tiền,Hà Nội," Quận Cầu Giấy, Hà Nội",92.0,Sổ hồng/ Sổ đỏ,53.0,30.0,6,6,0983.630.136,https://i-batdongsan.com/-ban-toa-van-phong-tran-kim-xuyen-cau-giay-92m2-6t-mt-5m-chi-53-ty--4699440.html
4825434,Đất,Duyên Hải Nam Trung Bộ," Thị xã Ninh Hòa, Khánh Hòa",127.0,Sổ hồng/ Sổ đỏ,1.65,4.0,0,0,0964.252.879,https://i-batdongsan.com/cc-can-ban-nhanh-dat-khu-ban-co-phu-tho-3-ninh-diem-4825434.html
4794593,Nhà mặt tiền,Duyên Hải Nam Trung Bộ," Thành phố Nha Trang, Khánh Hòa",56.0,Sổ hồng/ Sổ đỏ,7.1,13.0,4,5,0964.252.879,https://i-batdongsan.com/ban-nha-mat-duong-mac-dinh-chi-trung-tam-nha-trang-chi-7-1-ty-4794593.html
4267308,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",35.0,Sổ hồng/ Sổ đỏ,2.8,3.0,3,4,0947.758.834,https://i-batdongsan.com/chu-vo-no-sap-nhay-cau-35m2-mat-ngo-thuong-thanh-o-to-kinh-doanh-giam-con-2-8-ty--4267308.html
4759225,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Gò Vấp, Hồ Chí Minh",40.0,Sổ hồng/ Sổ đỏ,3.7,0.0,3,4,0937.099.054,https://i-batdongsan.com/ban-nha-quang-trung-go-vap-hem-4m-dt-40-m2-4x10-4-tang-gia-3-7-ty-4759225.html
4859970,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",105.0,Sổ hồng/ Sổ đỏ,64.0,1.0,1,5,0947.758.834,https://i-batdongsan.com/ngoc-thuy-105m2-gan-cau-long-bien-o-to-qua-vao-nha-mt-6m-nhinh-6-4-ty--4859970.html
4755258,"Nhà ngõ, hẻm",Duyên Hải Nam Trung Bộ," Quận Thanh Khê, Đà Nẵng",30.0,Sổ hồng/ Sổ đỏ,1.57,3.0,2,3,0987.901.827,https://i-batdongsan.com/-ban-nha-2-tang-kiet-k88-pham-van-nghi-4755258.html
4865266,Nhà mặt tiền,Hà Nội," Quận Nam Từ Liêm, Hà Nội",45.0,Sổ hồng/ Sổ đỏ,5.7,5.0,5,6,0919.988.236,https://i-batdongsan.com/nha-trung-van-nam-tu-liem-can-ban-chu-giam-han-1-ty-chi-con-5-ty-hon-4865266.html
4764933,"Nhà ngõ, hẻm",Duyên Hải Nam Trung Bộ," Quận Liên Chiểu, Đà Nẵng",70.0,Sổ hồng/ Sổ đỏ,3.7,5.0,3,3,0987.901.827,https://i-batdongsan.com/-nha-3-tang-3-me-duc-kiet-o-to-tran-dinh-tri--4764933.html
4859948,"Nhà ngõ, hẻm",Hà Nội," Quận Hoàn Kiếm, Hà Nội",35.0,Sổ hồng/ Sổ đỏ,6.0,3.0,3,3,0947.758.834,https://i-batdongsan.com/35m2-tho-nhuom-nha-cu-nat-vi-tri-dep-mt-4m-co-hoi-dau-tu-chu-mot-ban-nhinh-6-ty--4859948.html
4772622,Nhà mặt tiền,Hà Nội," Quận Tây Hồ, Hà Nội",135.0,Sổ hồng/ Sổ đỏ,53.0,10.0,5,4,0565.058.068,https://i-batdongsan.com/sieu-pham-mat-pho-vu-mien-135m2-5t-lo-goc-3-thoang-view-ho-via-he-rong-53-ty--4772622.html
4831236,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Thủ Đức, Hồ Chí Minh",78.0,Sổ hồng/ Sổ đỏ,4.8,3.5,1,1,0343.189.357,https://i-batdongsan.com/ban-nha-gan-hoang-dieu-2-linh-chieu-thu-duc-78m2-4-8x16m-chihon-4-ty-hem-xe-hoi-4831236.html
4843764,"Nhà ngõ, hẻm",Hà Nội," Quận Hai Bà Trưng, Hà Nội",95.0,Sổ hồng/ Sổ đỏ,18.5,4.0,7,15,0947.758.834,https://i-batdongsan.com/sieu-pham-dong-tien-120-trieu-7-tang-thang-may-minh-khai-95m2-mt-rong-nhinh-18-5-ty--4843764.html
4848322,"Nhà ngõ, hẻm",Hà Nội," Quận Nam Từ Liêm, Hà Nội",47.0,Sổ hồng/ Sổ đỏ,4.1,3.0,4,3,0919.988.236,https://i-batdongsan.com/nha-xuan-phuong-tu-liem-47m2-x-4t-moi-keeng-gia-chi-hon-4-ty-4848322.html
4378138,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",270.0,Sổ hồng/ Sổ đỏ,2.8,10.0,1,1,0947.758.834,https://i-batdongsan.com/220m2-mat-song-pho-bac-cau-lo-goc-3-o-to-tranh-mt-8-5m-nha-cap-4-mong-3-tang--4378138.html
4494942,Nhà mặt tiền,Hà Nội," Quận Đống Đa, Hà Nội",65.0,Sổ hồng/ Sổ đỏ,32.5,30.0,6,6,0937.272.112,https://i-batdongsan.com/-mat-pho-vip-chua-boc-dong-da-lo-goc-vi-tri-dep-65m2-6t-mt-4m-chi-32-5-ty--4494942.html
4847555,Đất,Duyên Hải Nam Trung Bộ," Quận Hải Châu, Đà Nẵng",59.0,Sổ hồng/ Sổ đỏ,22.0,11.0,0,0,0987.901.827,https://i-batdongsan.com/ban-nha-c4-duong-tran-quoc-toan-hai-chau-da-nang-4847555.html
4837941,Biệt thự,Hà Nội," Quận Nam Từ Liêm, Hà Nội",106.0,Sổ hồng/ Sổ đỏ,17.5,6.0,4,4,0919.988.236,https://i-batdongsan.com/biet-thu-nha-vuon-me-tri-thuong-nam-tu-liem-vip-nhat-khu-vuc-can-ban-4837941.html
2858885,Nhà mặt tiền,Hà Nội," Quận Long Biên, Hà Nội",85.0,Sổ hồng/ Sổ đỏ,10.0,7.0,4,4,0947.758.834,https://i-batdongsan.com/85m2-ngoc-lam-kinh-doanh-sam-uat-via-he-o-to-tranh-nha-moi-no-hau-nhinh-10-ty--2858885.html
4853083,"Nhà hàng, khách sạn",Hà Nội," Quận Ba Đình, Hà Nội",110.0,Sổ hồng/ Sổ đỏ,52.5,30.0,9,7,0983.630.136,https://i-batdongsan.com/-nha-hang-vip-nhat-mat-pho-linh-lang-apartment-110m2-9t-mt-4-5m-chi-52-5-ty--4853083.html
4284653,Nhà mặt tiền,Hà Nội," Quận Hoàn Kiếm, Hà Nội",51.0,Sổ hồng/ Sổ đỏ,48.5,30.0,1,3,0973.181.606,https://i-batdongsan.com/-nha-2-mat-pho-quang-trung-tho-nhuom-hoan-kiem-51m2-c4-mt-9m-chi-48-5-ty--4284653.html
4734793,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Thủ Đức, Hồ Chí Minh",220.0,Sổ hồng/ Sổ đỏ,7.5,3.0,1,2,0888.380.496,https://i-batdongsan.com/ban-nha-kha-van-can-linh-tay-thu-duc-220m2-chi-7-x-ty-nhinh-30tr-m2-can-tien-ban-gap-4734793.html
4785987,Nhà mặt tiền,Duyên Hải Nam Trung Bộ," Quận Cẩm Lệ, Đà Nẵng",100.0,Sổ hồng/ Sổ đỏ,4.8,8.0,2,3,0987.901.827,https://i-batdongsan.com/ban-nha-gac-lung-duc-duong-nguyen-dinh-tu-cam-le-da-nang-4785987.html
4612905,"Nhà ngõ, hẻm",Hà Nội," Quận Nam Từ Liêm, Hà Nội",42.0,Sổ hồng/ Sổ đỏ,3.9,2.0,5,4,0919.988.236,https://i-batdongsan.com/ban-nha-le-quang-dao-nam-tu-liem-42m2-5-tang-cuc-hiem-gia-chi-3-ty-hon-4612905.html
4568398,Nhà mặt tiền,Hà Nội," Quận Đống Đa, Hà Nội",70.0,Sổ hồng/ Sổ đỏ,15.9,20.0,2,2,0912.923.523,https://i-batdongsan.com/ban-nha-mat-pho-tay-son-70m-gia-15-9-ty-4568398.html
